"Season","DayNum","WTeamID","WScore","LTeamID","LScore","WLoc","NumOT","WFGM","WFGA","WFGM3","WFGA3","WFTM","WFTA","WOR","WDR","WAst","WTO","WStl","WBlk","WPF","LFGM","LFGA","LFGM3","LFGA3","LFTM","LFTA","LOR","LDR","LAst","LTO","LStl","LBlk","LPF","TourneyRound","WTeamName","LTeamName","WSeed_num","WRegion","LSeed_num","LRegion","WConf","LConf"
2003,137,1120,65,1386,63,"N",1,25,57,7,18,8,13,14,24,11,15,4,5,16,22,59,6,24,13,16,15,21,11,12,8,4,19,"Round of 64","Auburn","St Joseph's PA",10,"East",7,"East","Southeastern Conference","Atlantic 10 Conference"
2003,137,1139,47,1280,46,"N",0,18,47,5,18,6,8,7,19,5,8,3,0,15,16,44,6,21,8,14,8,22,10,10,6,4,13,"Round of 64","Butler","Mississippi St",12,"East",5,"East","Horizon League","Southeastern Conference"
2003,137,1196,85,1358,55,"N",0,32,61,13,28,8,14,9,31,24,10,6,3,15,19,57,6,18,11,18,12,25,10,16,1,4,16,"Round of 64","Florida","Sam Houston St",2,"Midwest",15,"Midwest","Southeastern Conference","Southland Conference"
2003,137,1231,67,1104,62,"N",0,19,49,7,18,22,26,13,22,15,8,1,2,17,22,52,5,12,13,16,9,20,13,8,2,6,21,"Round of 64","Indiana","Alabama",7,"South",10,"South","Big Ten Conference","Southeastern Conference"
2003,137,1246,95,1237,64,"N",0,40,65,10,20,5,11,10,25,22,13,7,4,17,22,60,4,15,16,22,15,18,10,19,7,1,15,"Round of 64","Kentucky","IUPUI",1,"South",16,"South","Southeastern Conference","Mid-Continent Conference"
2003,137,1257,86,1122,64,"N",0,35,70,8,24,8,13,15,29,18,12,12,4,22,24,54,2,21,14,22,8,21,11,18,5,3,18,"Round of 64","Louisville","Austin Peay",4,"East",13,"East","Conference USA","Ohio Valley Conference"
2003,137,1268,75,1423,73,"N",0,27,54,10,19,11,15,8,27,17,13,3,3,20,20,55,13,29,20,26,10,19,16,8,7,1,19,"Round of 64","Maryland","UNC Wilmington",6,"Midwest",11,"Midwest","Atlantic Coast Conference","Colonial Athletic Association"
2003,137,1277,79,1160,64,"N",0,26,56,7,13,20,25,10,28,16,11,5,1,18,26,60,5,14,7,17,12,23,9,13,6,8,19,"Round of 64","Michigan St","Colorado",7,"Midwest",10,"Midwest","Big Ten Conference","Big 12 Conference"
2003,137,1329,77,1335,63,"N",0,27,50,7,20,16,28,10,15,15,11,12,0,17,20,41,8,18,15,16,2,13,17,18,5,0,20,"Round of 64","Oklahoma St","Penn",6,"East",11,"East","Big 12 Conference","Ivy League"
2003,137,1338,87,1447,61,"N",0,33,59,9,16,12,21,10,23,22,9,14,6,19,21,51,7,21,12,18,9,20,13,19,6,2,20,"Round of 64","Pittsburgh","Wagner",2,"South",15,"South","Big East Conference","Northeast Conference"
2003,137,1345,80,1261,56,"N",0,27,52,9,16,17,19,8,25,7,19,9,1,18,20,60,6,26,10,17,17,18,7,16,7,3,13,"Round of 64","Purdue","LSU",9,"Midwest",8,"Midwest","Big Ten Conference","Southeastern Conference"
2003,137,1393,76,1264,65,"N",0,30,52,4,11,12,15,11,28,16,18,5,9,17,22,61,6,21,15,18,14,14,16,11,9,2,14,"Round of 64","Syracuse","Manhattan",3,"East",14,"East","Big East Conference","Metro Atlantic Athletic Conference"
2003,137,1400,82,1421,61,"N",0,31,62,6,16,14,20,19,28,15,14,6,2,16,23,62,5,21,10,12,13,16,5,11,9,3,16,"Round of 64","Texas","UNC Asheville",1,"Midwest",16,"Midwest","Big 12 Conference","Big South Conference"
2003,137,1428,60,1332,58,"N",0,18,61,9,23,15,18,13,23,8,15,7,4,22,19,55,3,17,17,24,13,29,8,17,6,2,22,"Round of 64","Utah","Oregon",9,"South",8,"South","Mountain West Conference","Pacific-10 Conference"
2003,137,1448,76,1190,73,"N",0,29,69,6,23,12,20,19,29,13,19,8,9,19,24,60,5,10,20,28,13,25,7,15,12,4,20,"Round of 64","Wake Forest","ETSU",2,"East",15,"East","Atlantic Coast Conference","Southern Conference"
2003,137,1462,71,1407,59,"N",0,26,64,6,20,13,18,17,30,19,10,5,4,11,23,65,11,29,2,6,12,21,13,9,6,6,19,"Round of 64","Xavier","Troy",3,"Midwest",14,"Midwest","Atlantic 10 Conference","Atlantic Sun Conference"
2003,138,1112,96,1211,95,"N",2,34,74,7,24,21,29,18,29,18,9,7,4,20,34,77,11,30,16,21,16,27,20,11,5,5,25,"Round of 32","Arizona","Gonzaga",1,"West",9,"West","Pacific-10 Conference","West Coast Conference"
2003,138,1163,85,1390,74,"N",0,31,68,6,10,17,21,17,26,12,9,4,1,13,27,62,8,23,12,17,11,22,12,11,2,6,18,"Round of 32","Connecticut","Stanford",5,"Midwest",4,"Midwest","Big East Conference","Pacific-10 Conference"
2003,138,1181,86,1141,60,"N",0,32,52,10,15,12,16,4,23,14,11,15,9,18,21,57,8,17,10,14,14,19,8,21,4,2,14,"Round of 32","Duke","C Michigan",3,"West",11,"West","Atlantic Coast Conference","Mid-American Conference"
2003,138,1242,108,1113,76,"N",0,40,59,5,9,23,34,12,28,21,13,6,6,20,28,69,4,15,16,23,17,14,11,11,7,5,21,"Round of 32","Kansas","Arizona St",2,"West",10,"West","Big 12 Conference","Pacific-10 Conference"
2003,138,1266,101,1281,92,"N",1,35,62,12,18,19,20,8,25,18,12,6,0,20,31,72,15,36,15,19,18,20,19,12,4,4,17,"Round of 32","Marquette","Missouri",3,"South",6,"South","Conference USA","Big 12 Conference"
2003,138,1323,68,1228,60,"N",0,25,61,13,24,5,5,5,32,12,11,5,4,13,22,63,5,17,11,16,10,31,12,9,6,3,10,"Round of 32","Notre Dame","Illinois",5,"West",4,"West","Big East Conference","Big Ten Conference"
2003,138,1328,74,1143,65,"N",0,26,51,7,13,15,24,13,23,16,12,2,2,15,27,52,5,16,6,12,6,18,6,9,5,4,23,"Round of 32","Oklahoma","California",1,"East",8,"East","Big 12 Conference","Pacific-10 Conference"
2003,138,1458,61,1409,60,"N",0,22,57,6,22,11,17,10,22,12,5,5,3,11,26,59,3,11,5,5,11,30,12,11,1,3,16,"Round of 32","Wisconsin","Tulsa",5,"South",13,"South","Big Ten Conference","Western Athletic Conference"
2003,139,1120,68,1448,62,"N",0,24,56,4,19,16,20,12,21,11,14,9,6,18,18,49,8,23,18,21,12,23,5,18,7,7,23,"Round of 32","Auburn","Wake Forest",10,"East",2,"East","Southeastern Conference","Atlantic Coast Conference"
2003,139,1139,79,1257,71,"N",0,27,52,14,22,11,19,10,18,21,12,6,2,11,28,54,11,25,4,4,8,19,13,14,8,2,21,"Round of 32","Butler","Louisville",12,"East",4,"East","Horizon League","Conference USA"
2003,139,1246,74,1428,54,"N",0,26,55,4,13,18,18,13,22,11,13,4,3,16,19,48,4,14,12,16,8,14,8,16,7,2,19,"Round of 32","Kentucky","Utah",1,"South",9,"South","Southeastern Conference","Mountain West Conference"
2003,139,1268,77,1462,64,"N",0,30,58,3,13,14,17,7,32,19,8,2,6,21,20,57,7,18,17,24,8,20,12,7,2,0,16,"Round of 32","Maryland","Xavier",6,"Midwest",3,"Midwest","Atlantic Coast Conference","Atlantic 10 Conference"
2003,139,1277,68,1196,46,"N",0,25,45,6,16,12,18,9,21,15,10,5,0,18,16,43,5,21,9,12,8,14,9,14,2,1,20,"Round of 32","Michigan St","Florida",7,"Midwest",2,"Midwest","Big Ten Conference","Southeastern Conference"
2003,139,1338,74,1231,52,"N",0,25,47,4,9,20,28,10,21,15,11,9,1,14,19,44,6,17,8,10,5,15,13,16,3,2,18,"Round of 32","Pittsburgh","Indiana",2,"South",7,"South","Big East Conference","Big Ten Conference"
2003,139,1393,68,1329,56,"N",0,26,57,5,12,11,18,5,33,16,17,11,9,19,22,63,3,19,9,19,11,27,16,22,8,4,19,"Round of 32","Syracuse","Oklahoma St",3,"East",6,"East","Big East Conference","Big 12 Conference"
2003,139,1400,77,1345,67,"N",0,25,62,5,11,22,26,13,27,8,13,4,0,21,23,62,5,16,16,24,13,22,10,13,7,2,24,"Round of 32","Texas","Purdue",1,"Midwest",9,"Midwest","Big 12 Conference","Big Ten Conference"
2003,143,1112,88,1323,71,"N",0,36,76,7,14,9,11,14,30,19,10,12,5,17,25,59,10,23,11,18,9,27,15,19,6,4,16,"Sweet Sixteen","Arizona","Notre Dame",1,"West",5,"West","Pacific-10 Conference","Big East Conference"
2003,143,1242,69,1181,65,"N",0,29,67,1,12,10,17,18,29,14,17,4,5,16,25,65,10,26,5,8,11,22,11,14,6,7,18,"Sweet Sixteen","Kansas","Duke",2,"West",3,"West","Big 12 Conference","Atlantic Coast Conference"
2003,143,1246,63,1458,57,"N",0,24,49,1,5,14,24,12,21,9,14,10,4,17,19,45,8,21,11,16,7,19,9,15,7,1,20,"Sweet Sixteen","Kentucky","Wisconsin",1,"South",5,"South","Southeastern Conference","Big Ten Conference"
2003,143,1266,77,1338,74,"N",0,28,54,6,12,15,22,10,18,16,10,7,3,18,29,55,4,14,12,15,10,20,18,12,6,4,19,"Sweet Sixteen","Marquette","Pittsburgh",3,"South",2,"South","Conference USA","Big East Conference"
2003,144,1277,60,1268,58,"N",0,22,56,6,17,10,12,11,26,10,18,8,3,20,20,54,2,16,16,18,9,24,8,15,12,4,15,"Sweet Sixteen","Michigan St","Maryland",7,"Midwest",6,"Midwest","Big Ten Conference","Atlantic Coast Conference"
2003,144,1328,65,1139,54,"N",0,27,55,4,10,7,12,19,20,15,13,6,1,18,19,43,4,13,12,17,7,14,10,13,7,2,18,"Sweet Sixteen","Oklahoma","Butler",1,"East",12,"East","Big 12 Conference","Horizon League"
2003,144,1393,79,1120,78,"N",0,29,66,5,14,16,21,15,21,14,10,9,7,17,27,63,10,22,14,17,14,26,15,17,5,5,19,"Sweet Sixteen","Syracuse","Auburn",3,"East",10,"East","Big East Conference","Southeastern Conference"
2003,144,1400,82,1163,78,"N",0,24,69,5,18,29,36,21,31,13,10,5,5,21,30,71,4,13,14,25,14,27,13,11,7,8,21,"Sweet Sixteen","Texas","Connecticut",1,"Midwest",5,"Midwest","Big 12 Conference","Big East Conference"
2003,145,1242,78,1112,75,"N",0,29,67,8,26,12,18,15,22,16,15,13,5,20,23,55,10,22,19,23,11,26,16,19,8,2,17,"Elite Eight","Kansas","Arizona",2,"West",1,"West","Big 12 Conference","Pacific-10 Conference"
2003,145,1266,83,1246,69,"N",0,31,55,10,19,11,15,10,26,21,15,6,6,22,25,64,4,16,15,24,20,16,14,11,10,2,19,"Elite Eight","Marquette","Kentucky",3,"South",1,"South","Conference USA","Southeastern Conference"
2003,146,1393,63,1328,47,"N",0,25,48,2,12,11,19,12,28,16,24,13,2,13,18,58,5,28,6,11,14,14,10,19,13,4,16,"Elite Eight","Syracuse","Oklahoma",3,"East",1,"East","Big East Conference","Big 12 Conference"
2003,146,1400,85,1277,76,"N",0,25,51,6,14,29,38,8,20,16,4,6,4,22,25,54,8,16,18,26,12,26,11,12,1,2,28,"Elite Eight","Texas","Michigan St",1,"Midwest",7,"Midwest","Big 12 Conference","Big Ten Conference"
2003,152,1242,94,1266,61,"N",0,38,71,8,19,10,17,19,33,22,12,8,5,15,23,74,3,16,12,18,21,18,7,11,7,3,17,"Final Four","Kansas","Marquette",2,"West",3,"South","Big 12 Conference","Conference USA"
2003,152,1393,95,1400,84,"N",0,32,56,7,13,24,31,9,28,14,13,9,2,21,27,63,10,21,20,32,17,17,20,14,6,2,26,"Final Four","Syracuse","Texas",3,"East",1,"Midwest","Big East Conference","Big 12 Conference"
2003,154,1393,81,1242,78,"N",0,30,63,11,18,10,17,11,25,13,17,10,7,22,31,71,4,20,12,30,26,26,18,18,9,4,16,"National Championship","Syracuse","Kansas",3,"East",2,"West","Big East Conference","Big 12 Conference"
2004,134,1197,72,1250,57,"N",0,25,63,6,20,16,23,19,25,11,12,8,2,15,18,61,7,30,14,19,21,21,12,17,7,3,20,"Play-In","Florida A&M","Lehigh",16,"West",16,"West","Mid-Eastern Athletic Conference","Patriot League"
2004,136,1104,65,1356,64,"N",0,24,53,7,16,10,16,11,24,7,12,7,2,7,24,59,12,22,4,5,10,20,15,10,4,1,14,"Round of 64","Alabama","S Illinois",8,"Midwest",9,"Midwest","Southeastern Conference","Missouri Valley Conference"
2004,136,1163,70,1436,53,"N",0,26,52,6,14,12,23,11,31,14,13,6,3,8,19,60,11,32,4,6,11,18,10,12,7,1,19,"Round of 64","Connecticut","Vermont",2,"Midwest",15,"Midwest","Big East Conference","America East Conference"
2004,136,1177,76,1173,69,"N",2,24,59,5,13,23,40,11,38,13,11,4,3,19,27,79,3,20,12,23,18,32,11,10,5,3,29,"Round of 64","DePaul","Dayton",7,"Midwest",10,"Midwest","Conference USA","Atlantic 10 Conference"
2004,136,1181,96,1106,61,"N",0,32,66,9,26,23,31,17,29,19,14,14,4,19,22,57,7,20,10,17,9,22,7,21,7,1,20,"Round of 64","Duke","Alabama St",1,"East",16,"East","Atlantic Coast Conference","Southwest Athletic Conference"
2004,136,1211,76,1434,49,"N",0,29,54,3,13,15,25,10,36,19,15,6,5,14,18,63,6,23,7,11,10,21,8,13,6,0,20,"Round of 64","Gonzaga","Valparaiso",2,"West",15,"West","West Coast Conference","Mid-Continent Conference"
2004,136,1264,75,1196,60,"N",0,26,60,6,15,17,21,13,23,10,10,8,4,21,21,45,3,13,15,22,4,22,4,14,4,4,18,"Round of 64","Manhattan","Florida",12,"South",5,"South","Metro Atlantic Athletic Conference","Southeastern Conference"
2004,136,1268,86,1431,83,"N",0,29,59,8,18,20,31,16,21,17,14,7,6,20,29,56,5,17,20,24,9,20,13,14,2,2,25,"Round of 64","Maryland","UTEP",4,"Midwest",13,"Midwest","Atlantic Coast Conference","Western Athletic Conference"
2004,136,1305,72,1277,66,"N",0,20,46,7,22,25,29,5,23,10,17,6,2,16,23,55,5,16,15,18,6,20,14,14,9,0,25,"Round of 64","Nevada","Michigan St",10,"West",7,"West","Western Athletic Conference","Big Ten Conference"
2004,136,1314,63,1102,52,"N",0,22,53,4,13,15,18,14,21,12,13,10,1,15,17,39,8,25,10,13,2,19,15,16,7,2,15,"Round of 64","North Carolina","Air Force",6,"East",11,"East","Atlantic Coast Conference","Mountain West Conference"
2004,136,1371,80,1112,76,"N",0,27,58,8,22,18,24,12,21,12,10,6,0,19,28,53,5,11,15,19,7,22,12,14,4,3,15,"Round of 64","Seton Hall","Arizona",8,"East",9,"East","Big East Conference","Pacific-10 Conference"
2004,136,1386,82,1251,63,"N",0,27,60,8,23,20,28,10,26,16,14,15,3,17,22,51,6,20,13,18,7,29,15,26,7,1,22,"Round of 64","St Joseph's PA","Liberty",1,"South",16,"South","Atlantic 10 Conference","Big South Conference"
2004,136,1390,71,1427,45,"N",0,27,54,6,14,11,15,11,29,11,20,11,9,20,15,63,2,15,13,21,22,17,2,19,8,3,15,"Round of 64","Stanford","UT San Antonio",1,"Midwest",16,"Midwest","Pacific-10 Conference","Southland Conference"
2004,136,1393,80,1140,75,"N",0,24,46,11,16,21,28,5,18,12,7,2,4,15,26,55,10,26,13,19,15,21,19,9,2,1,23,"Round of 64","Syracuse","BYU",5,"Midwest",12,"Midwest","Big East Conference","Mountain West Conference"
2004,136,1400,66,1343,49,"N",0,23,50,11,15,9,14,17,26,10,13,3,1,16,18,51,5,26,8,12,9,14,11,7,5,0,18,"Round of 64","Texas","Princeton",3,"East",14,"East","Big 12 Conference","Ivy League"
2004,136,1403,76,1150,73,"N",0,29,59,4,11,14,18,14,22,17,16,7,2,16,25,58,6,24,17,21,13,20,14,14,11,4,20,"Round of 64","Texas Tech","Charlotte",8,"South",9,"South","Big 12 Conference","Conference USA"
2004,136,1448,79,1433,78,"N",0,28,54,6,16,17,27,9,23,16,11,7,2,16,29,57,11,20,9,13,7,20,17,17,7,4,22,"Round of 64","Wake Forest","VCU",4,"South",13,"South","Atlantic Coast Conference","Colonial Athletic Association"
2004,137,1130,58,1428,51,"N",0,23,44,3,4,9,11,4,21,20,8,4,3,13,19,50,3,18,10,10,9,17,12,8,2,0,12,"Round of 64","Boston College","Utah",6,"West",11,"West","Big East Conference","Mountain West Conference"
2004,137,1153,80,1190,77,"N",0,29,62,13,32,9,11,12,33,22,17,3,11,19,29,74,6,23,13,20,17,21,14,6,11,3,14,"Round of 64","Cincinnati","ETSU",4,"East",13,"East","Conference USA","Southern Conference"
2004,137,1210,65,1320,60,"N",0,25,55,6,18,9,12,8,29,10,12,4,3,14,21,54,10,27,8,10,3,25,15,10,2,1,16,"Round of 64","Georgia Tech","Northern Iowa",3,"West",14,"West","Atlantic Coast Conference","Missouri Valley Conference"
2004,137,1228,72,1293,53,"N",0,27,60,9,24,9,13,16,28,19,8,5,5,17,17,49,8,20,11,17,9,18,8,10,4,2,13,"Round of 64","Illinois","Murray St",5,"East",12,"East","Big Ten Conference","Ohio Valley Conference"
2004,137,1242,78,1227,53,"N",0,24,39,5,12,25,40,6,35,18,25,6,8,19,20,64,3,16,10,14,11,15,10,15,9,0,25,"Round of 64","Kansas","IL Chicago",4,"West",13,"West","Big 12 Conference","Horizon League"
2004,137,1246,96,1197,76,"N",0,35,62,11,28,15,23,13,29,23,17,8,5,15,30,66,11,30,5,12,12,17,13,17,13,1,19,"Round of 64","Kentucky","Florida A&M",1,"West",16,"West","Southeastern Conference","Mid-Eastern Athletic Conference"
2004,137,1272,59,1376,43,"N",0,23,59,9,27,4,7,14,22,16,9,3,4,15,15,42,2,13,11,16,4,21,9,12,5,4,14,"Round of 64","Memphis","South Carolina",7,"South",10,"South","Conference USA","Southeastern Conference"
2004,137,1280,85,1284,52,"N",0,30,56,8,22,17,23,13,34,19,17,12,3,13,18,51,9,27,7,15,3,17,12,17,7,0,18,"Round of 64","Mississippi St","Monmouth NJ",2,"East",15,"East","Southeastern Conference","Northeast Conference"
2004,137,1301,61,1418,52,"N",0,18,49,5,17,20,24,13,24,10,15,5,0,20,16,49,5,22,15,23,11,21,9,15,9,2,21,"Round of 64","NC State","Louisiana",3,"Midwest",14,"Midwest","Atlantic Coast Conference","Sun Belt Conference"
2004,137,1329,75,1186,56,"N",0,30,55,2,6,13,16,11,26,15,15,12,5,16,21,59,3,19,11,13,12,15,19,14,8,2,15,"Round of 64","Oklahoma St","E Washington",2,"South",15,"South","Big 12 Conference","Big Sky Conference"
2004,137,1334,66,1344,58,"N",0,24,50,6,14,12,18,7,22,17,12,7,1,11,23,61,6,26,6,6,15,21,12,15,4,2,18,"Round of 64","Pacific","Providence",12,"West",5,"West","Big West Conference","Big East Conference"
2004,137,1338,53,1416,44,"N",0,13,44,5,16,22,31,10,27,7,13,8,1,15,16,52,5,20,7,10,9,24,10,14,6,0,22,"Round of 64","Pittsburgh","UCF",3,"South",14,"South","Big East Conference","Atlantic Sun Conference"
2004,137,1412,102,1449,100,"N",0,30,65,9,26,33,44,11,26,23,12,8,2,26,35,64,6,20,24,34,10,31,19,16,6,5,30,"Round of 64","UAB","Washington",9,"West",8,"West","Conference USA","Pacific-10 Conference"
2004,137,1435,71,1444,58,"N",0,26,46,11,19,8,18,8,25,16,17,9,5,15,22,63,2,19,12,16,18,18,10,12,13,1,19,"Round of 64","Vanderbilt","W Michigan",6,"Midwest",11,"Midwest","Southeastern Conference","Mid-American Conference"
2004,137,1458,76,1350,64,"N",0,25,51,8,18,18,24,11,18,14,9,7,3,11,25,54,7,16,7,13,13,16,17,14,8,3,19,"Round of 64","Wisconsin","Richmond",6,"South",11,"South","Big Ten Conference","Atlantic 10 Conference"
2004,137,1462,80,1257,70,"N",0,23,46,9,18,25,29,12,27,15,15,6,1,12,25,63,10,32,10,13,13,13,18,10,7,1,23,"Round of 64","Xavier","Louisville",7,"East",10,"East","Atlantic 10 Conference","Conference USA"
2004,138,1104,70,1390,67,"N",0,16,43,4,19,34,44,5,24,8,8,6,8,16,26,73,7,24,8,11,22,27,12,12,2,0,31,"Round of 32","Alabama","Stanford",8,"Midwest",1,"Midwest","Southeastern Conference","Pacific-10 Conference"
2004,138,1163,72,1177,55,"N",0,26,60,5,16,15,23,13,31,15,5,5,5,15,20,59,5,15,10,13,9,26,12,8,1,0,20,"Round of 32","Connecticut","DePaul",2,"Midwest",7,"Midwest","Big East Conference","Conference USA"
2004,138,1181,90,1371,62,"N",0,26,48,4,11,34,38,11,29,16,10,3,3,18,24,57,3,17,11,16,8,14,11,10,4,0,27,"Round of 32","Duke","Seton Hall",1,"East",8,"East","Atlantic Coast Conference","Big East Conference"
2004,138,1305,91,1211,72,"N",0,30,64,8,17,23,29,14,29,18,8,4,4,18,28,75,3,22,13,18,19,20,9,10,4,1,23,"Round of 32","Nevada","Gonzaga",10,"West",2,"West","Western Athletic Conference","West Coast Conference"
2004,138,1386,70,1403,65,"N",0,27,57,12,31,4,5,11,20,13,13,4,0,16,25,53,3,12,12,14,9,20,16,9,7,2,11,"Round of 32","St Joseph's PA","Texas Tech",1,"South",8,"South","Atlantic 10 Conference","Big 12 Conference"
2004,138,1393,72,1268,70,"N",0,22,55,4,12,24,38,12,26,11,12,7,5,25,20,52,3,12,27,38,12,28,13,17,5,6,26,"Round of 32","Syracuse","Maryland",5,"Midwest",4,"Midwest","Big East Conference","Atlantic Coast Conference"
2004,138,1400,78,1314,75,"N",0,27,55,5,13,19,23,9,26,10,11,6,1,19,25,65,9,28,16,19,16,20,14,11,6,1,21,"Round of 32","Texas","North Carolina",3,"East",6,"East","Big 12 Conference","Atlantic Coast Conference"
2004,138,1448,84,1264,80,"N",0,29,57,8,20,18,24,8,29,15,10,5,2,18,29,63,7,20,15,20,8,24,15,8,5,3,23,"Round of 32","Wake Forest","Manhattan",4,"South",12,"South","Atlantic Coast Conference","Metro Atlantic Athletic Conference"
2004,139,1210,57,1130,54,"N",0,23,51,6,18,5,6,8,16,15,17,12,1,17,20,44,5,13,9,15,11,19,14,22,11,2,14,"Round of 32","Georgia Tech","Boston College",3,"West",6,"West","Atlantic Coast Conference","Big East Conference"
2004,139,1228,92,1153,68,"N",0,35,55,11,19,11,14,2,19,26,4,9,1,14,27,58,7,16,7,11,14,20,14,13,1,5,14,"Round of 32","Illinois","Cincinnati",5,"East",4,"East","Big Ten Conference","Conference USA"
2004,139,1242,78,1334,63,"N",0,29,60,5,15,15,21,15,25,17,13,11,3,15,23,54,6,20,11,15,9,18,19,14,6,1,18,"Round of 32","Kansas","Pacific",4,"West",12,"West","Big 12 Conference","Big West Conference"
2004,139,1329,70,1272,53,"N",0,28,47,5,12,9,17,14,20,18,17,8,1,16,20,50,6,17,7,14,11,11,9,12,6,3,15,"Round of 32","Oklahoma St","Memphis",2,"South",7,"South","Big 12 Conference","Conference USA"
2004,139,1338,59,1458,55,"N",0,21,59,2,10,15,19,15,25,10,9,7,3,17,17,48,8,18,13,17,7,24,9,13,4,3,20,"Round of 32","Pittsburgh","Wisconsin",3,"South",6,"South","Big East Conference","Big Ten Conference"
2004,139,1412,76,1246,75,"N",0,30,67,8,18,8,13,18,15,19,12,9,1,19,27,61,7,20,14,18,20,21,13,16,4,4,16,"Round of 32","UAB","Kentucky",9,"West",1,"West","Conference USA","Southeastern Conference"
