Column,file,Description
WTeamID,ncaatourneycompactresults.csv,"this identifies the id number of the team that won the game, as listed in the ""Teams.csv"" file. No matter whether the game was won by the home team or visiting team, or if it was a neutral-site game, the ""WTeamID"" always identifies the winning team."
WScore,ncaatourneycompactresults.csv,this identifies the number of points scored by the winning team.
LTeamID,ncaatourneycompactresults.csv,this identifies the id number of the team that lost the game.
LScore,ncaatourneycompactresults.csv,this identifies the number of points scored by the losing team. Thus you can be confident that WScore will be greater than LScore for all games listed.
WLoc,ncaatourneycompactresults.csv,"this identifies the ""location"" of the winning team. If the winning team was the home team, this value will be ""H"". If the winning team was the visiting team, this value will be ""A"". If it was played on a neutral court, then this value will be ""N"". Sometimes it is unclear whether the site should be considered neutral, since it is near one team's home court, or even on their court during a tournament, but for this determination we have simply used the Kenneth Massey data in its current state, where the ""@"" sign is either listed with the winning team, the losing team, or neither team. If you would like to investigate this factor more closely, we invite you to explore Data Section 3, which provides the city that each game was played in, irrespective of whether it was considered to be a neutral site."
NumOT,ncaatourneycompactresults.csv,"this indicates the number of overtime periods in the game, an integer 0 or higher."
WFGM,regularseasondetailedresults.csv,field goals made (by the winning team)
WFGA,regularseasondetailedresults.csv,field goals attempted (by the winning team)
WFGM3,regularseasondetailedresults.csv,three pointers made (by the winning team)
WFGA3,regularseasondetailedresults.csv,three pointers attempted (by the winning team)
WFTM,regularseasondetailedresults.csv,free throws made (by the winning team)
WFTA,regularseasondetailedresults.csv,free throws attempted (by the winning team)
WOR,regularseasondetailedresults.csv,offensive rebounds (pulled by the winning team)
WDR,regularseasondetailedresults.csv,defensive rebounds (pulled by the winning team)
WAst,regularseasondetailedresults.csv,assists (by the winning team)
WTO,regularseasondetailedresults.csv,turnovers committed (by the winning team)
WStl,regularseasondetailedresults.csv,steals (accomplished by the winning team)
WBlk,regularseasondetailedresults.csv,blocks (accomplished by the winning team)
WPF,regularseasondetailedresults.csv,personal fouls committed (by the winning team)
LFGM,regularseasondetailedresults.csv,field goals made (by the losing team)
LFGA,regularseasondetailedresults.csv,field goals attempted (by the losing team)
LFGM3,regularseasondetailedresults.csv,three pointers made (by the losing team)
LFGA3,regularseasondetailedresults.csv,three pointers attempted (by the losing team)
LFTM,regularseasondetailedresults.csv,free throws made (by the losing team)
LFTA,regularseasondetailedresults.csv,free throws attempted (by the losing team)
LOR,regularseasondetailedresults.csv,offensive rebounds (pulled by the losing team)
LDR,regularseasondetailedresults.csv,defensive rebounds (pulled by the losing team)
Last,regularseasondetailedresults.csv,assists (by the losing team)
LTO,regularseasondetailedresults.csv,turnovers committed (by the losing team)
LStl,regularseasondetailedresults.csv,steals (accomplished by the losing team)
LBlk,regularseasondetailedresults.csv,blocks (accomplished by the losing team)
LPF,regularseasondetailedresults.csv,personal fouls committed (by the losing team)
WFGM,ncaatourneydetailedresults.csv,field goals made (by the winning team)
WFGA,ncaatourneydetailedresults.csv,field goals attempted (by the winning team)
WFGM3,ncaatourneydetailedresults.csv,three pointers made (by the winning team)
WFGA3,ncaatourneydetailedresults.csv,three pointers attempted (by the winning team)
WFTM,ncaatourneydetailedresults.csv,free throws made (by the winning team)
WFTA,ncaatourneydetailedresults.csv,free throws attempted (by the winning team)
WOR,ncaatourneydetailedresults.csv,offensive rebounds (pulled by the winning team)
WDR,ncaatourneydetailedresults.csv,defensive rebounds (pulled by the winning team)
WAst,ncaatourneydetailedresults.csv,assists (by the winning team)
WTO,ncaatourneydetailedresults.csv,turnovers committed (by the winning team)
WStl,ncaatourneydetailedresults.csv,steals (accomplished by the winning team)
WBlk,ncaatourneydetailedresults.csv,blocks (accomplished by the winning team)
WPF,ncaatourneydetailedresults.csv,personal fouls committed (by the winning team)
LFGM,ncaatourneydetailedresults.csv,field goals made (by the losing team)
LFGA,ncaatourneydetailedresults.csv,field goals attempted (by the losing team)
LFGM3,ncaatourneydetailedresults.csv,three pointers made (by the losing team)
LFGA3,ncaatourneydetailedresults.csv,three pointers attempted (by the losing team)
LFTM,ncaatourneydetailedresults.csv,free throws made (by the losing team)
LFTA,ncaatourneydetailedresults.csv,free throws attempted (by the losing team)
LOR,ncaatourneydetailedresults.csv,offensive rebounds (pulled by the losing team)
LDR,ncaatourneydetailedresults.csv,defensive rebounds (pulled by the losing team)
Last,ncaatourneydetailedresults.csv,assists (by the losing team)
LTO,ncaatourneydetailedresults.csv,turnovers committed (by the losing team)
LStl,ncaatourneydetailedresults.csv,steals (accomplished by the losing team)
LBlk,ncaatourneydetailedresults.csv,blocks (accomplished by the losing team)
LPF,ncaatourneydetailedresults.csv,personal fouls committed (by the losing team)
